date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,002230,34.61,35.04,35.54,34.61,488438,1713274176.0,2.7,1.62,0.56,2.64,35.06333333333333
2020-01-03,002230,34.96,34.66,35.29,34.43,440194,1531343104.0,2.45,-1.08,-0.38,2.38,34.79333333333333
2020-01-06,002230,34.3,36.72,37.63,34.21,1243364,4546572800.0,9.87,5.94,2.06,6.72,36.18666666666667
2020-01-07,002230,36.71,36.75,36.82,36.21,497330,1816298064.0,1.66,0.08,0.03,2.69,36.593333333333334
2020-01-08,002230,36.45,36.05,36.66,36.03,471254,1709205344.0,1.71,-1.9,-0.7,2.55,36.24666666666666
2020-01-09,002230,36.58,36.54,36.84,36.24,464840,1698261952.0,1.66,1.36,0.49,2.51,36.54
2020-01-10,002230,36.45,36.26,37.11,36.01,395859,1446077456.0,3.01,-0.77,-0.28,2.14,36.46
2020-01-13,002230,36.35,36.99,37.28,36.2,501022,1846205648.0,2.98,2.01,0.73,2.71,36.82333333333333
2020-01-14,002230,37.1,36.4,37.18,36.35,374737,1371788080.0,2.24,-1.6,-0.59,2.02,36.64333333333334
2020-01-15,002230,36.31,36.28,36.7,35.8,343199,1240427488.0,2.47,-0.33,-0.12,1.85,36.26
2020-01-16,002230,36.28,36.32,36.76,36.15,328341,1196855408.0,1.68,0.11,0.04,1.77,36.41
2020-01-17,002230,36.51,35.96,36.56,35.86,312487,1130456928.0,1.93,-0.99,-0.36,1.69,36.126666666666665
2020-01-20,002230,36.0,36.62,36.73,35.62,413089,1502080992.0,3.09,1.84,0.66,2.23,36.32333333333333
2020-01-21,002230,36.57,36.03,36.95,35.98,349755,1270504624.0,2.65,-1.61,-0.59,1.89,36.32
2020-01-22,002230,35.86,36.86,36.98,35.75,509162,1862660432.0,3.41,2.3,0.83,2.75,36.529999999999994
2020-01-23,002230,36.36,35.19,36.6,34.4,649700,2312794864.0,5.97,-4.53,-1.67,3.51,35.39666666666667
2020-02-03,002230,31.67,31.95,33.65,31.67,965166,3127358384.0,5.63,-9.21,-3.24,5.22,32.42333333333333
2020-02-04,002230,32.55,35.15,35.15,32.5,1066965,3674946272.0,8.29,10.02,3.2,5.77,34.26666666666667
2020-02-05,002230,35.99,38.19,38.67,35.2,1592542,5987569664.0,9.87,8.65,3.04,8.61,37.35333333333333
2020-02-06,002230,38.32,39.3,39.37,37.8,1309917,5081874432.0,4.11,2.91,1.11,7.08,38.82333333333333
2020-02-07,002230,38.88,38.86,39.8,38.1,1074613,4183592784.0,4.33,-1.12,-0.44,5.81,38.92
2020-02-10,002230,39.11,39.02,39.7,38.1,843043,3281871856.0,4.12,0.41,0.16,4.56,38.940000000000005
2020-02-11,002230,39.4,37.83,39.68,37.69,834441,3193150992.0,5.1,-3.05,-1.19,4.51,38.4
2020-02-12,002230,37.88,39.3,39.35,37.6,1045694,4054918336.0,4.63,3.89,1.47,5.65,38.75
2020-02-13,002230,39.1,38.42,39.5,38.2,746580,2885889008.0,3.31,-2.24,-0.88,4.03,38.70666666666667
2020-02-14,002230,38.2,38.36,39.14,38.05,625187,2409471376.0,2.84,-0.16,-0.06,3.38,38.516666666666666
2020-02-17,002230,38.36,39.54,39.66,38.3,949270,3718514224.0,3.55,3.08,1.18,5.13,39.166666666666664
2020-02-18,002230,39.71,40.05,40.52,39.13,970618,3862633424.0,3.52,1.29,0.51,5.24,39.9
2020-02-19,002230,39.71,38.66,39.71,38.62,844779,3300201456.0,2.72,-3.47,-1.39,4.56,38.99666666666666
2020-02-20,002230,38.88,39.01,39.27,38.15,616137,2393525712.0,2.9,0.91,0.35,3.33,38.81
2020-02-21,002230,39.05,41.34,42.22,39.05,1434691,5899911936.0,8.13,5.97,2.33,7.75,40.87
2020-02-24,002230,41.99,42.4,43.19,41.35,1154102,4899672576.0,4.45,2.56,1.06,6.24,42.31333333333333
2020-02-25,002230,41.43,42.0,42.13,39.74,1177992,4859846656.0,5.64,-0.94,-0.4,6.37,41.29
