date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,000333,58.66,59.75,59.89,58.41,346226,2050141328.0,2.54,2.58,1.5,0.51,59.35
2020-01-03,000333,59.9,58.26,59.96,58.18,270043,1587220592.0,2.98,-2.49,-1.49,0.4,58.800000000000004
2020-01-06,000333,57.8,57.2,58.2,56.0,288425,1656276944.0,3.78,-1.82,-1.06,0.42,57.13333333333333
2020-01-07,000333,57.4,58.05,58.21,57.2,225265,1304633776.0,1.77,1.49,0.85,0.33,57.81999999999999
2020-01-08,000333,57.51,58.28,58.98,57.37,253210,1471083456.0,2.77,0.4,0.23,0.37,58.21
2020-01-09,000333,58.8,59.45,59.73,58.5,296354,1757281376.0,2.11,2.01,1.17,0.44,59.22666666666667
2020-01-10,000333,59.97,59.99,60.49,59.45,280706,1683152336.0,1.75,0.91,0.54,0.41,59.97666666666667
2020-01-13,000333,60.5,60.11,60.66,59.5,279512,1678723648.0,1.93,0.2,0.12,0.41,60.089999999999996
2020-01-14,000333,60.5,59.88,60.8,59.72,162500,976486528.0,1.8,-0.38,-0.23,0.24,60.13333333333333
2020-01-15,000333,59.9,59.5,60.0,58.88,214900,1272651584.0,1.87,-0.63,-0.38,0.32,59.46
2020-01-16,000333,60.0,59.66,60.06,59.23,199814,1192330864.0,1.39,0.27,0.16,0.29,59.65
2020-01-17,000333,59.99,60.31,61.0,59.49,217133,1312054704.0,2.53,1.09,0.65,0.32,60.26666666666667
2020-01-20,000333,60.8,60.2,60.96,59.83,201911,1217493008.0,1.87,-0.18,-0.11,0.3,60.330000000000005
2020-01-21,000333,59.7,58.1,59.76,58.03,276432,1617441936.0,2.87,-3.49,-2.1,0.41,58.629999999999995
2020-01-22,000333,57.52,57.48,57.96,56.0,411606,2335993232.0,3.37,-1.07,-0.62,0.6,57.14666666666667
2020-01-23,000333,56.1,55.1,56.74,55.0,596537,3313820976.0,3.03,-4.14,-2.38,0.88,55.61333333333334
2020-02-03,000333,49.59,50.19,52.59,49.59,705067,3565939360.0,5.44,-8.91,-4.91,1.04,50.79
2020-02-04,000333,50.3,52.79,52.82,50.3,404131,2097010016.0,5.02,5.18,2.6,0.59,51.97
2020-02-05,000333,52.92,52.87,53.47,52.45,348950,1848774208.0,1.93,0.15,0.08,0.51,52.93
2020-02-06,000333,52.87,53.79,53.96,52.36,393668,2086495952.0,3.03,1.74,0.92,0.58,53.37
2020-02-07,000333,53.5,52.83,53.53,52.2,344090,1811882960.0,2.47,-1.78,-0.96,0.51,52.85333333333333
2020-02-10,000333,52.3,52.3,52.78,51.72,346048,1804543408.0,2.01,-1.0,-0.53,0.51,52.26666666666667
2020-02-11,000333,53.19,54.68,54.99,52.8,493882,2684341232.0,4.19,4.55,2.38,0.72,54.156666666666666
2020-02-12,000333,54.57,54.89,55.36,54.02,234338,1284759456.0,2.45,0.38,0.21,0.34,54.75666666666666
2020-02-13,000333,54.56,53.8,54.58,53.5,319307,1723256896.0,1.97,-1.99,-1.09,0.47,53.96
2020-02-14,000333,53.5,53.74,53.96,53.18,210044,1125281552.0,1.45,-0.11,-0.06,0.31,53.626666666666665
2020-02-17,000333,53.34,54.4,54.42,53.24,325053,1751927712.0,2.2,1.23,0.66,0.48,54.02
2020-02-18,000333,54.4,53.53,54.4,53.32,332035,1783036928.0,1.99,-1.6,-0.87,0.49,53.75
2020-02-19,000333,53.36,53.54,53.87,53.17,237329,1270519680.0,1.31,0.02,0.01,0.35,53.526666666666664
2020-02-20,000333,53.7,54.86,54.98,53.32,370412,2013322144.0,3.1,2.47,1.32,0.54,54.38666666666666
2020-02-21,000333,54.5,54.28,54.82,54.02,297799,1616397376.0,1.46,-1.06,-0.58,0.44,54.373333333333335
2020-02-24,000333,55.36,54.91,55.37,54.45,407824,2243496144.0,1.69,1.16,0.63,0.6,54.91
2020-02-25,000333,54.0,54.43,54.46,53.8,315462,1706738496.0,1.2,-0.87,-0.48,0.46,54.23
2020-02-26,000333,53.7,54.3,55.32,53.21,387240,2107804640.0,3.88,-0.24,-0.13,0.57,54.276666666666664
2020-02-27,000333,54.3,54.91,55.2,54.21,284935,1563743472.0,1.82,1.12,0.61,0.42,54.77333333333333
2020-02-28,000333,53.88,53.05,54.18,52.79,334057,1788324816.0,2.53,-3.39,-1.86,0.49,53.339999999999996
2020-03-02,000333,53.05,54.34,54.75,53.05,318934,1725854576.0,3.2,2.43,1.29,0.47,54.04666666666666
2020-03-03,000333,54.51,54.5,55.0,53.97,264999,1441435072.0,1.9,0.29,0.16,0.39,54.49
