date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,601901,8.93,8.54,8.99,8.53,1771967,1552483056.0,5.31,-1.5,-0.13,2.15,8.686666666666666
2020-01-03,601901,8.44,8.59,8.75,8.43,1056619,907630560.0,3.75,0.59,0.05,1.28,8.59
2020-01-06,601901,8.41,8.49,8.7,8.35,986533,839826848.0,4.07,-1.16,-0.1,1.2,8.513333333333334
2020-01-07,601901,8.49,8.63,8.65,8.41,903605,769393376.0,2.83,1.65,0.14,1.1,8.563333333333334
2020-01-08,601901,8.5,8.24,8.55,8.23,854051,717344112.0,3.71,-4.52,-0.39,1.04,8.340000000000002
2020-01-09,601901,8.45,8.4,8.54,8.35,605102,510890800.0,2.31,1.94,0.16,0.74,8.43
2020-01-10,601901,8.59,8.42,8.65,8.38,629089,534572336.0,3.21,0.24,0.02,0.76,8.483333333333334
2020-01-13,601901,8.36,8.55,8.56,8.23,645246,542588192.0,3.92,1.54,0.13,0.78,8.446666666666667
2020-01-14,601901,8.55,8.42,8.61,8.4,485439,412577968.0,2.46,-1.52,-0.13,0.59,8.476666666666667
2020-01-15,601901,8.4,8.42,8.52,8.32,413166,348372256.0,2.38,0.0,0.0,0.5,8.42
2020-01-16,601901,8.37,8.41,8.47,8.32,318314,267554632.0,1.78,-0.12,-0.01,0.39,8.4
2020-01-17,601901,8.45,8.54,8.8,8.4,785997,676479552.0,4.76,1.55,0.13,0.95,8.58
2020-01-20,601901,8.5,8.67,8.74,8.48,582207,502290880.0,3.04,1.52,0.13,0.71,8.63
2020-01-21,601901,8.69,8.55,8.74,8.54,518583,447103520.0,2.31,-1.38,-0.12,0.63,8.610000000000001
2020-01-22,601901,8.44,8.46,8.58,8.13,789655,659778800.0,5.26,-1.05,-0.09,0.96,8.39
2020-01-23,601901,8.18,8.04,8.35,7.9,701352,571118192.0,5.32,-4.96,-0.42,0.85,8.096666666666666
2020-02-03,601901,7.24,7.24,7.24,7.24,133501,96654724.0,0.0,-9.95,-0.8,0.16,7.239999999999999
2020-02-04,601901,6.66,7.16,7.24,6.66,859433,609086384.0,8.01,-1.1,-0.08,1.04,7.0200000000000005
2020-02-05,601901,7.17,7.39,7.73,7.12,715730,531040144.0,8.52,3.21,0.23,0.87,7.413333333333334
2020-02-06,601901,7.34,7.63,7.71,7.34,779355,588101408.0,5.01,3.25,0.24,0.95,7.56
2020-02-07,601901,7.64,7.66,7.75,7.54,649636,495832000.0,2.75,0.39,0.03,0.79,7.6499999999999995
2020-02-10,601901,7.58,7.71,7.83,7.57,527261,407130416.0,3.39,0.65,0.05,0.64,7.703333333333333
2020-02-11,601901,7.78,7.7,7.97,7.68,544684,425156560.0,3.76,-0.13,-0.01,0.66,7.783333333333332
2020-02-12,601901,7.63,7.81,7.92,7.63,559530,434304624.0,3.77,1.43,0.11,0.68,7.786666666666666
2020-02-13,601901,7.76,7.65,7.87,7.62,435391,335832160.0,3.2,-2.05,-0.16,0.53,7.713333333333334
2020-02-14,601901,7.62,7.75,7.9,7.6,579864,450794592.0,3.92,1.31,0.1,0.7,7.75
2020-02-17,601901,8.0,8.06,8.12,7.82,865086,688975984.0,3.87,4.0,0.31,1.05,8.0
2020-02-18,601901,8.07,7.99,8.12,7.93,543456,435530288.0,2.36,-0.87,-0.07,0.66,8.013333333333334
2020-02-19,601901,7.9,7.97,8.21,7.88,689809,556110256.0,4.13,-0.25,-0.02,0.84,8.02
2020-02-20,601901,7.94,8.43,8.58,7.88,1233353,1009826592.0,8.78,5.77,0.46,1.5,8.296666666666667
2020-02-21,601901,8.31,8.3,8.6,8.22,1128964,943611024.0,4.51,-1.54,-0.13,1.37,8.373333333333333
2020-02-24,601901,8.2,8.09,8.23,8.06,1418563,1153204208.0,2.05,-2.53,-0.21,1.72,8.126666666666667
2020-02-25,601901,7.79,8.03,8.06,7.69,1145174,903996608.0,4.57,-0.74,-0.06,1.39,7.926666666666667
2020-02-26,601901,7.84,7.83,8.08,7.79,799955,635108480.0,3.61,-2.49,-0.2,0.97,7.900000000000001
2020-02-27,601901,7.93,7.84,8.03,7.81,522574,413376672.0,2.81,0.13,0.01,0.63,7.8933333333333335
2020-02-28,601901,7.61,7.32,7.75,7.3,714657,535678368.0,5.74,-6.63,-0.52,0.87,7.456666666666667
2020-03-02,601901,7.41,7.59,7.69,7.33,600243,451495312.0,4.92,3.69,0.27,0.73,7.536666666666666
2020-03-03,601901,7.7,7.66,7.86,7.61,626228,483706912.0,3.29,0.92,0.07,0.76,7.710000000000001
2020-03-04,601901,7.63,7.84,7.88,7.63,613613,476804624.0,3.26,2.35,0.18,0.75,7.783333333333334
2020-03-05,601901,7.95,8.08,8.15,7.76,1170874,935566272.0,4.97,3.06,0.24,1.42,7.996666666666667
2020-03-06,601901,8.03,8.24,8.55,7.99,1663444,1386035760.0,6.93,1.98,0.16,2.02,8.26
2020-03-09,601901,7.95,8.0,8.36,7.9,1177689,957039152.0,5.58,-2.91,-0.24,1.43,8.086666666666666
2020-03-10,601901,8.15,8.34,8.37,8.0,1379652,1133503888.0,4.63,4.25,0.34,1.68,8.236666666666666
2020-03-11,601901,8.19,7.96,8.22,7.96,1207129,973438720.0,3.12,-4.56,-0.38,1.47,8.046666666666667
2020-03-12,601901,7.84,7.71,7.93,7.62,638629,495709376.0,3.89,-3.14,-0.25,0.78,7.753333333333334
2020-03-13,601901,7.22,7.55,7.71,7.22,619211,461221600.0,6.36,-2.08,-0.16,0.75,7.493333333333333
2020-03-16,601901,7.66,7.33,7.77,7.28,669763,507407440.0,6.49,-2.91,-0.22,0.81,7.460000000000001
2020-03-17,601901,7.5,7.42,7.58,7.25,509343,377701360.0,4.5,1.23,0.09,0.62,7.416666666666667
2020-03-18,601901,7.44,7.18,7.52,7.18,440934,325263360.0,4.58,-3.23,-0.24,0.54,7.293333333333333
2020-03-19,601901,7.2,7.23,7.35,7.01,469914,337637248.0,4.74,0.7,0.05,0.57,7.196666666666666
2020-03-20,601901,7.33,7.29,7.37,7.16,311865,226523644.0,2.9,0.83,0.06,0.38,7.273333333333333
2020-03-23,601901,7.07,7.0,7.24,6.98,287265,203754441.0,3.57,-3.98,-0.29,0.35,7.073333333333333
2020-03-24,601901,7.15,7.11,7.17,6.95,285902,202405318.0,3.14,1.57,0.11,0.35,7.076666666666667
2020-03-25,601901,7.26,7.26,7.31,7.18,328844,238283805.0,1.83,2.11,0.15,0.4,7.25
2020-03-26,601901,7.19,7.15,7.25,7.13,187689,134940943.0,1.65,-1.52,-0.11,0.23,7.176666666666667
2020-03-27,601901,7.23,7.16,7.32,7.15,248852,179823394.0,2.38,0.14,0.01,0.3,7.210000000000001
2020-03-30,601901,7.08,7.27,7.35,7.03,421810,306078480.0,4.47,1.54,0.11,0.51,7.216666666666666
2020-03-31,601901,7.3,7.18,7.31,7.16,272152,196824722.0,2.06,-1.24,-0.09,0.33,7.216666666666666
2020-04-01,601901,7.12,7.11,7.28,7.1,244437,175710102.0,2.51,-0.97,-0.07,0.3,7.163333333333333
2020-04-02,601901,7.06,7.24,7.24,7.06,223617,159985911.0,2.53,1.83,0.13,0.27,7.18
2020-04-03,601901,7.19,7.12,7.21,7.11,174980,125241820.0,1.38,-1.66,-0.12,0.21,7.146666666666667
2020-04-07,601901,7.25,7.26,7.32,7.18,363579,263623978.0,1.97,1.97,0.14,0.44,7.253333333333333
