date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,600016,6.36,6.36,6.4,6.35,1043665,665289504.0,0.79,0.79,0.05,0.29,6.37
2020-01-03,600016,6.37,6.34,6.38,6.34,599124,380992688.0,0.63,-0.31,-0.02,0.17,6.353333333333333
2020-01-06,600016,6.32,6.3,6.37,6.28,802168,507810736.0,1.42,-0.63,-0.04,0.23,6.316666666666666
2020-01-07,600016,6.32,6.33,6.36,6.3,574019,363619296.0,0.95,0.48,0.03,0.16,6.330000000000001
2020-01-08,600016,6.32,6.29,6.33,6.26,693523,436696240.0,1.11,-0.63,-0.04,0.2,6.293333333333333
2020-01-09,600016,6.32,6.31,6.34,6.3,599265,378815280.0,0.64,0.32,0.02,0.17,6.316666666666666
2020-01-10,600016,6.32,6.33,6.34,6.3,427513,270126480.0,0.63,0.32,0.02,0.12,6.323333333333333
2020-01-13,600016,6.34,6.35,6.35,6.32,502396,318437040.0,0.47,0.32,0.02,0.14,6.34
2020-01-14,600016,6.36,6.38,6.41,6.35,589470,375955376.0,0.94,0.47,0.03,0.17,6.38
2020-01-15,600016,6.38,6.32,6.39,6.32,453766,287653632.0,1.1,-0.94,-0.06,0.13,6.343333333333334
2020-01-16,600016,6.33,6.3,6.34,6.29,391474,246823284.0,0.79,-0.32,-0.02,0.11,6.31
2020-01-17,600016,6.31,6.29,6.34,6.27,444724,280207440.0,1.11,-0.16,-0.01,0.13,6.3
2020-01-20,600016,6.29,6.32,6.32,6.29,451508,284871568.0,0.48,0.48,0.03,0.13,6.31
2020-01-21,600016,6.3,6.25,6.31,6.25,620174,388512368.0,0.95,-1.11,-0.07,0.17,6.27
2020-01-22,600016,6.26,6.26,6.33,6.21,611250,382340160.0,1.92,0.16,0.01,0.17,6.266666666666666
2020-01-23,600016,6.23,6.08,6.25,6.08,1172841,719120752.0,2.72,-2.88,-0.18,0.33,6.136666666666667
2020-02-03,600016,5.57,5.69,5.81,5.57,2257121,1281136640.0,3.95,-6.41,-0.39,0.64,5.69
2020-02-04,600016,5.7,5.83,5.86,5.65,1465045,847678448.0,3.69,2.46,0.14,0.41,5.780000000000001
2020-02-05,600016,5.85,5.84,5.9,5.78,866990,507674816.0,2.06,0.17,0.01,0.24,5.84
2020-02-06,600016,5.89,5.91,5.92,5.83,873868,513474720.0,1.54,1.2,0.07,0.25,5.886666666666667
2020-02-07,600016,5.87,5.89,5.89,5.82,690934,404604640.0,1.18,-0.34,-0.02,0.19,5.866666666666667
2020-02-10,600016,5.85,5.86,5.88,5.84,553235,324467296.0,0.68,-0.51,-0.03,0.16,5.859999999999999
2020-02-11,600016,5.88,5.9,5.93,5.87,556603,328579888.0,1.02,0.68,0.04,0.16,5.900000000000001
2020-02-12,600016,5.89,5.9,5.91,5.86,497236,292778384.0,0.85,0.0,0.0,0.14,5.890000000000001
2020-02-13,600016,5.9,5.86,5.91,5.85,519797,305197440.0,1.02,-0.68,-0.04,0.15,5.873333333333334
2020-02-14,600016,5.84,5.89,5.89,5.84,425122,249661074.0,0.85,0.51,0.03,0.12,5.873333333333334
2020-02-17,600016,5.88,5.96,5.97,5.87,804353,476445632.0,1.7,1.19,0.07,0.23,5.933333333333334
2020-02-18,600016,5.94,5.9,5.95,5.89,708890,419484464.0,1.01,-1.01,-0.06,0.2,5.913333333333334
2020-02-19,600016,5.9,5.89,5.94,5.88,667202,394348528.0,1.02,-0.17,-0.01,0.19,5.903333333333333
2020-02-20,600016,5.91,5.94,5.95,5.86,936736,553245920.0,1.53,0.85,0.05,0.26,5.916666666666667
2020-02-21,600016,5.92,5.91,5.95,5.89,955811,565365696.0,1.01,-0.51,-0.03,0.27,5.916666666666667
2020-02-24,600016,5.91,5.86,5.93,5.85,1067721,627643040.0,1.35,-0.85,-0.05,0.3,5.88
2020-02-25,600016,5.81,5.81,5.83,5.78,980348,569073504.0,0.85,-0.85,-0.05,0.28,5.806666666666666
2020-02-26,600016,5.78,5.84,5.86,5.76,981499,571603744.0,1.72,0.52,0.03,0.28,5.82
2020-02-27,600016,5.84,5.85,5.87,5.82,716523,418754016.0,0.86,0.17,0.01,0.2,5.846666666666667
2020-02-28,600016,5.81,5.72,5.83,5.72,1163982,671577280.0,1.88,-2.22,-0.13,0.33,5.756666666666667
2020-03-02,600016,5.74,5.81,5.82,5.73,851199,492952048.0,1.57,1.57,0.09,0.24,5.786666666666666
2020-03-03,600016,5.83,5.84,5.87,5.82,846089,494403008.0,0.86,0.52,0.03,0.24,5.843333333333334
2020-03-04,600016,5.82,5.86,5.87,5.82,569671,332991168.0,0.86,0.34,0.02,0.16,5.8500000000000005
2020-03-05,600016,5.88,5.95,5.96,5.86,1393659,825555232.0,1.71,1.54,0.09,0.39,5.923333333333333
2020-03-06,600016,5.9,5.9,5.94,5.87,728139,429378064.0,1.18,-0.84,-0.05,0.21,5.903333333333333
2020-03-09,600016,5.84,5.79,5.85,5.76,1327025,767788288.0,1.53,-1.86,-0.11,0.37,5.8
2020-03-10,600016,5.76,5.84,5.86,5.75,1026639,598253024.0,1.9,0.86,0.05,0.29,5.816666666666666
2020-03-11,600016,5.85,5.81,5.86,5.8,607406,353945376.0,1.03,-0.51,-0.03,0.17,5.823333333333333
