date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,300676,68.6,68.5,69.56,67.8,59788,410465888.0,2.56,-0.29,-0.2,2.45,68.62
2020-01-03,300676,68.6,68.7,70.35,68.58,49114,340216880.0,2.58,0.29,0.2,2.01,69.21
2020-01-06,300676,67.78,67.16,68.51,66.88,63286,427489168.0,2.37,-2.24,-1.54,2.59,67.51666666666667
2020-01-07,300676,67.39,67.96,68.0,67.0,43485,294132224.0,1.49,1.19,0.8,1.78,67.65333333333332
2020-01-08,300676,67.43,65.56,67.59,65.56,71965,476885488.0,2.99,-3.53,-2.4,2.94,66.23666666666666
2020-01-09,300676,66.5,66.5,66.9,66.16,40851,271924016.0,1.13,1.43,0.94,1.67,66.52
2020-01-10,300676,66.9,67.0,67.47,66.37,34635,231908670.0,1.65,0.75,0.5,1.42,66.94666666666667
2020-01-13,300676,66.87,68.0,68.1,65.69,53577,358805152.0,3.6,1.49,1.0,2.19,67.26333333333334
2020-01-14,300676,68.8,68.13,69.32,67.71,44534,304730032.0,2.37,0.19,0.13,1.82,68.38666666666666
2020-01-15,300676,68.69,69.76,70.78,67.85,74342,516428944.0,4.3,2.39,1.63,3.04,69.46333333333332
2020-01-16,300676,69.5,68.75,70.28,68.4,44586,309136896.0,2.69,-1.45,-1.01,1.82,69.14333333333333
2020-01-17,300676,68.79,69.96,70.77,68.32,58360,408498832.0,3.56,1.76,1.21,2.39,69.68333333333332
2020-01-20,300676,75.76,76.6,76.9,73.31,165644,1247644448.0,5.13,9.49,6.64,6.77,75.60333333333334
2020-01-21,300676,78.43,78.35,81.65,77.1,210859,1679578080.0,5.94,2.28,1.75,8.62,79.03333333333333
2020-01-22,300676,79.7,74.5,79.7,73.68,130149,978942448.0,7.68,-4.91,-3.85,5.32,75.96
2020-01-23,300676,77.4,79.5,80.44,76.89,215409,1707024400.0,4.77,6.71,5.0,8.81,78.94333333333333
2020-02-03,300676,87.45,87.45,87.45,82.0,234448,2037437568.0,6.86,10.0,7.95,9.59,85.63333333333333
2020-02-04,300676,88.0,89.99,93.18,80.86,355318,3122243056.0,14.09,2.9,2.54,14.53,88.01
