date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,603259,92.49,91.62,92.78,90.39,116130,1058576880.0,2.59,-0.54,-0.5,1.15,91.59666666666668
2020-01-03,603259,91.65,89.26,92.03,88.02,171521,1534585024.0,4.38,-2.58,-2.36,1.7,89.77
2020-01-06,603259,88.06,86.6,88.4,85.94,200543,1743784272.0,2.76,-2.98,-2.66,1.99,86.98
2020-01-07,603259,86.95,87.91,88.46,86.21,125562,1101391824.0,2.6,1.51,1.31,1.25,87.52666666666666
2020-01-08,603259,87.4,87.36,88.31,86.36,85124,743711008.0,2.22,-0.63,-0.55,0.85,87.34333333333335
2020-01-09,603259,88.99,91.3,91.72,88.52,179971,1632541712.0,3.66,4.51,3.94,1.79,90.51333333333334
2020-01-10,603259,91.48,91.02,92.8,90.82,107715,990871632.0,2.17,-0.31,-0.28,1.07,91.54666666666667
2020-01-13,603259,91.96,93.0,93.12,90.9,126874,1171780656.0,2.44,2.18,1.98,1.26,92.33999999999999
2020-01-14,603259,93.8,92.5,93.95,92.47,80126,746379616.0,1.59,-0.54,-0.5,0.8,92.97333333333334
2020-01-15,603259,92.28,94.0,95.17,92.16,97599,919191696.0,3.25,1.62,1.5,0.97,93.77666666666666
2020-01-16,603259,94.8,95.49,95.96,93.39,109924,1046288912.0,2.73,1.59,1.49,1.09,94.94666666666666
2020-01-17,603259,97.99,96.93,98.0,94.45,124042,1200443568.0,3.72,1.51,1.44,1.23,96.46
2020-01-20,603259,97.53,98.01,99.31,96.36,89499,875884160.0,3.04,1.11,1.08,0.89,97.89333333333333
2020-01-21,603259,98.61,98.15,99.94,97.35,99907,986911888.0,2.64,0.14,0.14,0.99,98.48
2020-01-22,603259,98.21,98.75,99.33,96.21,89187,875540800.0,3.18,0.61,0.6,0.89,98.09666666666665
2020-01-23,603259,98.75,95.79,99.87,94.6,103547,1002780000.0,5.34,-3.0,-2.96,1.03,96.75333333333333
2020-02-03,603259,86.99,91.99,94.9,86.99,151001,1378598400.0,8.26,-3.97,-3.8,1.5,91.29333333333334
2020-02-04,603259,92.04,95.5,96.66,90.06,146774,1377813456.0,7.17,3.82,3.51,1.46,94.07333333333334
2020-02-05,603259,95.85,97.05,99.48,94.51,178826,1732470816.0,5.2,1.62,1.55,1.78,97.01333333333334
2020-02-06,603259,98.0,104.8,106.5,96.6,238815,2448716016.0,10.2,7.99,7.75,2.37,102.63333333333333
2020-02-07,603259,104.0,102.38,106.36,101.1,169403,1752367536.0,5.02,-2.31,-2.42,1.68,103.27999999999999
2020-02-10,603259,101.58,105.16,105.45,100.3,152262,1564516384.0,5.03,2.72,2.78,1.51,103.63666666666666
2020-02-11,603259,105.7,104.06,105.88,103.0,104154,1086315184.0,2.74,-1.05,-1.1,1.04,104.31333333333333
2020-02-12,603259,105.81,107.71,110.2,104.88,160735,1736271056.0,5.11,3.51,3.65,1.6,107.59666666666665
2020-02-13,603259,108.46,107.8,109.64,106.58,95244,1030022336.0,2.84,0.08,0.09,0.95,108.00666666666666
2020-02-14,603259,108.7,109.75,111.88,108.31,98289,1083523584.0,3.31,1.81,1.95,0.98,109.98
2020-02-17,603259,109.47,114.0,115.28,109.44,128882,1456609264.0,5.32,3.87,4.25,1.28,112.90666666666668
2020-02-18,603259,114.84,112.89,114.84,111.68,91744,1038394032.0,2.77,-0.97,-1.11,0.91,113.13666666666667
2020-02-19,603259,113.11,110.9,113.87,110.58,106589,1194628368.0,2.91,-1.76,-1.99,1.06,111.78333333333335
2020-02-20,603259,110.48,111.0,111.85,109.8,94614,1048678224.0,1.85,0.09,0.1,0.94,110.88333333333333
2020-02-21,603259,110.03,112.71,113.5,109.58,90029,1009761152.0,3.53,1.54,1.71,0.89,111.92999999999999
2020-02-24,603259,112.55,113.25,114.5,111.36,102999,1165046576.0,2.79,0.48,0.54,1.02,113.03666666666668
2020-02-25,603259,111.23,117.38,118.85,111.03,120635,1396083552.0,6.91,3.65,4.13,1.2,115.75333333333333
2020-02-26,603259,116.0,110.55,116.18,109.0,149172,1675905744.0,6.12,-5.82,-6.83,1.48,111.91000000000001
2020-02-27,603259,110.58,110.0,112.74,109.04,97799,1081911488.0,3.35,-0.5,-0.55,0.97,110.59333333333332
2020-02-28,603259,105.55,106.0,108.23,104.48,123771,1320551520.0,3.41,-3.64,-4.0,1.23,106.23666666666668
2020-03-02,603259,107.5,110.09,111.35,107.11,90210,986370208.0,4.0,3.86,4.09,0.9,109.51666666666665
2020-03-03,603259,112.09,115.03,117.18,112.02,113404,1303111264.0,4.69,4.49,4.94,1.13,114.74333333333334
2020-03-04,603259,114.78,116.68,117.85,113.08,94325,1091408640.0,4.15,1.43,1.65,0.94,115.87
2020-03-05,603259,117.99,115.72,118.33,114.46,98720,1146149104.0,3.32,-0.82,-0.96,0.98,116.17
2020-03-06,603259,114.92,115.75,119.3,114.6,86418,1010369008.0,4.06,0.03,0.03,0.86,116.55
2020-03-09,603259,114.1,112.01,115.6,111.88,110036,1246589856.0,3.21,-3.23,-3.74,1.09,113.16333333333334
