date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,603986,207.01,219.53,224.86,206.1,99547,2167567312.0,9.16,7.15,14.64,3.52,216.83
2020-01-03,603986,224.0,220.4,224.4,214.66,70564,1545268896.0,4.44,0.4,0.87,2.49,219.82000000000002
2020-01-06,603986,215.5,226.0,229.8,215.5,64697,1450349024.0,6.49,2.54,5.6,2.29,223.76666666666665
2020-01-07,603986,223.0,212.78,226.88,209.0,92439,1987585680.0,7.91,-5.85,-13.22,3.27,216.22
2020-01-08,603986,212.43,213.5,217.0,210.39,50610,1080656128.0,3.11,0.34,0.72,1.79,213.63
2020-01-09,603986,215.4,225.8,227.89,211.67,80107,1769473264.0,7.6,5.76,12.3,2.83,221.78666666666663
2020-01-10,603986,223.0,245.0,248.38,223.0,86485,2058410992.0,11.24,8.5,19.2,3.06,238.79333333333332
2020-01-13,603986,245.03,261.8,264.88,239.2,91996,2293768544.0,10.48,6.86,16.8,3.25,255.29333333333332
2020-01-14,603986,256.2,253.99,261.12,249.58,70576,1794191616.0,4.41,-2.98,-7.81,2.49,254.89666666666668
2020-01-15,603986,250.11,256.18,260.78,248.28,58920,1497958160.0,4.92,0.86,2.19,2.08,255.08
2020-01-16,603986,255.51,252.2,262.22,250.0,46249,1173776912.0,4.77,-1.55,-3.98,1.63,254.8066666666667
2020-01-17,603986,254.65,253.01,256.66,249.05,44686,1129924368.0,3.02,0.32,0.81,1.58,252.90666666666667
2020-01-20,603986,254.37,276.0,276.18,254.37,70614,1881473872.0,8.62,9.09,22.99,2.49,268.84999999999997
2020-01-21,603986,261.5,271.42,277.77,259.0,95119,2546471680.0,6.8,-1.66,-4.58,3.36,269.3966666666667
2020-01-22,603986,268.33,289.6,292.04,263.01,69818,1953000384.0,10.7,6.7,18.18,2.47,281.55
2020-01-23,603986,280.0,283.0,305.0,262.55,103076,2924347792.0,14.66,-2.28,-6.6,3.64,283.51666666666665
2020-02-03,603986,254.7,254.7,258.0,254.7,46339,1180697360.0,1.17,-10.0,-28.3,1.64,255.80000000000004
2020-02-04,603986,254.8,278.9,279.17,254.7,89219,2413598688.0,9.61,9.5,24.2,3.15,270.92333333333335
2020-02-05,603986,280.17,281.49,293.5,275.82,90440,2555335904.0,6.34,0.93,2.59,3.2,283.6033333333333
2020-02-06,603986,272.25,283.12,284.08,272.0,72071,2010430608.0,4.29,0.58,1.63,2.55,279.7333333333333
2020-02-07,603986,280.82,294.48,298.76,277.31,77178,2234333776.0,7.58,4.01,11.36,2.73,290.18333333333334
2020-02-10,603986,295.8,281.6,295.91,275.0,80424,2266772208.0,7.1,-4.37,-12.88,2.84,284.17
2020-02-11,603986,278.5,282.9,289.3,278.5,50619,1442405360.0,3.84,0.46,1.3,1.79,283.56666666666666
2020-02-12,603986,277.23,291.66,295.53,277.0,60129,1725910384.0,6.55,3.1,8.76,2.12,288.06333333333333
2020-02-13,603986,296.58,317.96,320.83,296.0,115731,3633693632.0,8.51,9.02,26.3,4.09,311.59666666666664
2020-02-14,603986,313.0,311.41,325.0,301.58,79160,2485757632.0,7.37,-2.06,-6.55,2.8,312.66333333333336
2020-02-17,603986,309.0,318.0,322.8,309.0,50583,1611570896.0,4.43,2.12,6.59,1.79,316.59999999999997
2020-02-18,603986,318.88,327.07,327.65,315.51,54889,1768996096.0,3.82,2.85,9.07,1.94,323.41
2020-02-19,603986,325.01,341.13,356.44,321.11,75331,2564606032.0,10.8,4.3,14.06,2.66,339.56
2020-02-20,603986,341.0,375.24,375.24,339.0,75904,2728007664.0,10.62,10.0,34.11,2.68,363.16
2020-02-21,603986,373.39,394.48,397.88,370.0,82190,3175535776.0,7.43,5.13,19.24,2.9,387.4533333333334
2020-02-24,603986,398.5,402.0,407.74,381.33,85438,3369827680.0,6.69,1.91,7.52,3.02,397.0233333333333
2020-02-25,603986,392.0,426.16,428.18,390.0,112515,4666930688.0,9.5,6.01,24.16,3.97,414.78000000000003
2020-02-26,603986,420.0,385.0,428.0,383.54,104844,4235850784.0,10.43,-9.66,-41.16,3.7,398.84666666666664
2020-02-27,603986,395.0,355.08,398.0,348.0,151737,5545046784.0,12.99,-7.77,-29.92,5.36,367.02666666666664
2020-02-28,603986,344.41,363.04,384.7,327.5,160303,5640634624.0,16.11,2.24,7.96,5.66,358.41333333333336
2020-03-02,603986,373.0,352.34,380.0,341.0,135934,4830110208.0,10.74,-2.95,-10.7,4.8,357.78
2020-03-03,603986,356.0,350.3,374.8,345.0,124638,4484585216.0,8.46,-0.58,-2.04,4.4,356.7
2020-03-04,603986,340.0,321.79,344.03,315.27,176429,5696808960.0,8.21,-8.14,-28.51,6.23,327.03
2020-03-05,603986,324.0,325.9,330.0,307.8,151035,4832094720.0,6.9,1.28,4.11,5.34,321.2333333333333
2020-03-06,603986,317.03,321.88,328.0,314.9,78770,2537137648.0,4.02,-1.23,-4.02,2.78,321.5933333333333
2020-03-09,603986,314.5,295.92,315.0,292.22,116048,3526189440.0,7.08,-8.07,-25.96,4.1,301.0466666666667
2020-03-10,603986,303.09,314.61,315.0,297.0,130724,4018060000.0,6.08,6.32,18.69,4.62,308.87
2020-03-11,603986,312.48,293.42,313.6,292.51,117211,3547165648.0,6.7,-6.74,-21.19,4.14,299.8433333333333
2020-03-12,603986,288.25,300.2,303.88,286.74,108861,3232645888.0,5.84,2.31,6.78,3.85,296.94
2020-03-13,603986,285.19,310.62,318.2,285.0,141104,4296163328.0,11.06,3.47,10.42,4.98,304.6066666666667
2020-03-16,603986,306.9,279.56,306.9,279.56,129268,3771996064.0,8.8,-10.0,-31.06,4.57,288.67333333333335
2020-03-17,603986,288.0,283.11,290.0,266.0,89108,2494452960.0,8.58,1.27,3.55,3.15,279.7033333333333
2020-03-18,603986,285.1,273.58,291.4,269.73,99169,2788225680.0,7.65,-3.37,-9.53,3.5,278.2366666666667
2020-03-19,603986,275.0,275.99,278.99,261.58,96881,2645706192.0,6.36,0.88,2.41,3.42,272.18666666666667
2020-03-20,603986,280.64,273.8,282.0,254.0,106533,2853217184.0,10.15,-0.79,-2.19,3.76,269.93333333333334
2020-03-23,603986,261.0,246.42,262.0,246.42,112128,2845233200.0,5.69,-10.0,-27.38,3.96,251.61333333333332
2020-03-24,603986,253.0,244.11,253.77,231.32,120727,2938344800.0,9.11,-0.94,-2.31,4.26,243.0666666666667
2020-03-25,603986,253.0,251.3,259.85,246.02,113210,2862070560.0,5.67,2.95,7.19,4.0,252.39000000000001
2020-03-26,603986,247.66,246.3,257.58,245.3,83451,2087182336.0,4.89,-1.99,-5.0,2.95,249.7266666666667
2020-03-27,603986,252.5,250.07,258.2,248.0,99770,2520455200.0,4.14,1.53,3.77,3.52,252.09
2020-03-30,603986,244.01,252.59,257.6,236.86,115572,2855059312.0,8.29,1.01,2.52,4.08,249.01666666666668
2020-03-31,603986,256.0,242.01,256.8,242.01,101188,2506584480.0,5.86,-4.19,-10.58,3.57,246.93999999999997
2020-04-01,603986,237.0,242.29,252.1,236.0,95974,2365877296.0,6.65,0.12,0.28,3.39,243.46333333333334
2020-04-02,603986,242.55,266.52,266.52,242.42,156493,3986157712.0,9.95,10.0,24.23,5.53,258.4866666666666
2020-04-03,603986,262.67,257.78,266.0,256.0,109759,2860226912.0,3.75,-3.28,-8.74,3.88,259.9266666666667
