date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2020-01-02,002129,11.97,12.23,12.45,11.76,1107634,1346301648.0,5.84,3.56,0.42,4.13,12.146666666666667
2020-01-03,002129,12.23,12.15,12.41,12.07,687525,839764752.0,2.78,-0.65,-0.08,2.56,12.21
2020-01-06,002129,12.0,12.45,12.5,11.91,1048650,1291314272.0,4.86,2.47,0.3,3.91,12.286666666666667
2020-01-07,002129,12.46,12.6,12.7,12.31,923184,1158737792.0,3.13,1.2,0.15,3.44,12.536666666666667
2020-01-08,002129,12.9,12.26,12.99,12.23,1058268,1329658448.0,6.03,-2.7,-0.34,3.94,12.493333333333332
2020-01-09,002129,12.5,12.72,12.95,12.46,1065096,1357306448.0,4.0,3.75,0.46,3.97,12.71
2020-01-10,002129,12.75,12.79,13.05,12.63,951394,1221489216.0,3.3,0.55,0.07,3.55,12.823333333333332
2020-01-13,002129,12.79,13.43,13.58,12.66,1220363,1609708624.0,7.19,5.0,0.64,4.55,13.223333333333334
2020-01-14,002129,13.38,13.4,13.53,13.13,847204,1129594048.0,2.98,-0.22,-0.03,3.16,13.353333333333333
2020-01-15,002129,13.41,14.2,14.5,13.36,1637937,2298205360.0,8.51,5.97,0.8,6.1,14.020000000000001
2020-01-16,002129,14.2,14.25,14.63,14.1,1287516,1843037456.0,3.73,0.35,0.05,4.8,14.326666666666668
2020-01-17,002129,14.36,14.32,14.62,14.05,1014542,1456573616.0,4.0,0.49,0.07,3.78,14.33
2020-01-20,002129,14.55,15.3,15.36,14.32,1422091,2121338768.0,7.26,6.84,0.98,5.3,14.993333333333334
2020-01-21,002129,15.08,15.22,15.49,14.88,1044372,1587296704.0,3.99,-0.52,-0.08,3.89,15.196666666666667
2020-01-22,002129,14.96,16.33,16.73,14.9,1292298,2021498192.0,12.02,7.29,1.11,4.82,15.986666666666666
2020-01-23,002129,16.01,15.68,16.97,15.0,1674598,2693112928.0,12.06,-3.98,-0.65,6.24,15.883333333333333
2020-02-03,002129,14.11,14.11,14.11,14.11,207424,292675264.0,0.0,-10.01,-1.57,0.77,14.11
2020-02-04,002129,13.43,14.88,15.1,13.43,1849309,2692128528.0,11.84,5.46,0.77,6.89,14.47
2020-02-05,002129,14.8,14.56,15.55,14.41,1499719,2249961808.0,7.66,-2.15,-0.32,5.59,14.840000000000002
2020-02-06,002129,14.44,15.15,15.23,14.27,1271096,1897221360.0,6.59,4.05,0.59,4.74,14.883333333333333
2020-02-07,002129,15.15,16.28,16.46,14.9,1706553,2678286592.0,10.3,7.46,1.13,6.36,15.88
